#s	W0^2		W2^2		W4^2		W6^2		W8^2
198.500600 6.139984e-01 -2.131930e-01 7.185235e-02 -2.867755e-02 2.129731e-02
199.500600 6.128134e-01 -2.142138e-01 7.221875e-02 -2.880897e-02 2.131221e-02
200.500600 6.116359e-01 -2.152287e-01 7.250824e-02 -2.902019e-02 2.141225e-02
201.500600 6.104588e-01 -2.162284e-01 7.285968e-02 -2.915533e-02 2.145246e-02
202.500600 6.092843e-01 -2.172565e-01 7.317345e-02 -2.930250e-02 2.149555e-02
203.500600 6.081066e-01 -2.182232e-01 7.352873e-02 -2.943666e-02 2.166304e-02
204.500600 6.069442e-01 -2.192343e-01 7.388659e-02 -2.949545e-02 2.168767e-02
205.500600 6.057626e-01 -2.202160e-01 7.416529e-02 -2.964674e-02 2.175463e-02
206.500600 6.045995e-01 -2.212049e-01 7.452592e-02 -2.978124e-02 2.178578e-02
207.500600 6.034275e-01 -2.221724e-01 7.484696e-02 -2.986289e-02 2.184988e-02
208.500600 6.022708e-01 -2.231570e-01 7.518769e-02 -2.994154e-02 2.193520e-02
209.500600 6.011062e-01 -2.241339e-01 7.557677e-02 -3.007351e-02 2.204397e-02
210.500600 5.999288e-01 -2.250789e-01 7.588528e-02 -3.020376e-02 2.211186e-02
211.500600 5.987647e-01 -2.260455e-01 7.621270e-02 -3.028831e-02 2.215741e-02
212.500600 5.976207e-01 -2.270133e-01 7.656768e-02 -3.045817e-02 2.222160e-02
213.500600 5.964410e-01 -2.279653e-01 7.693161e-02 -3.057294e-02 2.227557e-02
214.500600 5.952884e-01 -2.289076e-01 7.725661e-02 -3.061775e-02 2.227887e-02
215.500600 5.941217e-01 -2.298792e-01 7.759563e-02 -3.074511e-02 2.235255e-02
216.500600 5.929727e-01 -2.308066e-01 7.791495e-02 -3.089643e-02 2.239411e-02
217.500600 5.918067e-01 -2.317659e-01 7.830843e-02 -3.100230e-02 2.240344e-02
218.500600 5.906592e-01 -2.327074e-01 7.861977e-02 -3.109415e-02 2.249780e-02
219.500600 5.895198e-01 -2.336379e-01 7.898190e-02 -3.124671e-02 2.252372e-02
220.500600 5.883669e-01 -2.345694e-01 7.931252e-02 -3.134864e-02 2.258498e-02
221.500500 5.872181e-01 -2.355079e-01 7.968877e-02 -3.153492e-02 2.262778e-02
222.500500 5.860798e-01 -2.364471e-01 8.001134e-02 -3.163116e-02 2.265108e-02
223.500500 5.849299e-01 -2.373620e-01 8.037689e-02 -3.176395e-02 2.268316e-02
224.500500 5.837838e-01 -2.382960e-01 8.070868e-02 -3.183256e-02 2.269715e-02
225.500500 5.826362e-01 -2.392035e-01 8.103211e-02 -3.198870e-02 2.274513e-02
226.500500 5.814908e-01 -2.401130e-01 8.137502e-02 -3.211727e-02 2.279069e-02
227.500500 5.803543e-01 -2.410399e-01 8.170420e-02 -3.224823e-02 2.278864e-02
228.500500 5.792003e-01 -2.419221e-01 8.205997e-02 -3.240228e-02 2.282203e-02
229.500500 5.780680e-01 -2.428393e-01 8.242427e-02 -3.252684e-02 2.286657e-02
230.500500 5.769298e-01 -2.437381e-01 8.275226e-02 -3.262258e-02 2.291643e-02
231.500500 5.758004e-01 -2.446270e-01 8.309104e-02 -3.274627e-02 2.293703e-02
232.500500 5.746600e-01 -2.455427e-01 8.343211e-02 -3.290457e-02 2.296404e-02
233.500500 5.735365e-01 -2.464087e-01 8.377008e-02 -3.302284e-02 2.301455e-02
234.500500 5.724021e-01 -2.472955e-01 8.412206e-02 -3.316514e-02 2.296511e-02
235.500500 5.712735e-01 -2.481938e-01 8.445172e-02 -3.325859e-02 2.297173e-02
236.500500 5.701401e-01 -2.490553e-01 8.478928e-02 -3.343709e-02 2.301736e-02
237.500500 5.690243e-01 -2.499439e-01 8.510053e-02 -3.354281e-02 2.299087e-02
238.500500 5.678929e-01 -2.508244e-01 8.543821e-02 -3.367366e-02 2.306694e-02
239.500500 5.667613e-01 -2.516800e-01 8.580148e-02 -3.378412e-02 2.310974e-02
240.500500 5.656241e-01 -2.525227e-01 8.615482e-02 -3.387861e-02 2.311389e-02
241.500500 5.645313e-01 -2.534080e-01 8.647607e-02 -3.405439e-02 2.317267e-02
242.500500 5.633994e-01 -2.542682e-01 8.685614e-02 -3.416260e-02 2.321398e-02
243.500500 5.622792e-01 -2.551189e-01 8.719174e-02 -3.428045e-02 2.320181e-02
244.500500 5.611619e-01 -2.559620e-01 8.751886e-02 -3.439639e-02 2.324625e-02
245.500500 5.600409e-01 -2.568035e-01 8.783591e-02 -3.454330e-02 2.326750e-02
246.500500 5.589335e-01 -2.576418e-01 8.822801e-02 -3.469833e-02 2.328060e-02
247.500500 5.578307e-01 -2.584880e-01 8.857235e-02 -3.477263e-02 2.329383e-02
248.500500 5.567035e-01 -2.593216e-01 8.889463e-02 -3.490352e-02 2.332281e-02
249.500500 5.555993e-01 -2.601420e-01 8.924903e-02 -3.505606e-02 2.334545e-02
250.500500 5.544873e-01 -2.609751e-01 8.959994e-02 -3.514179e-02 2.339452e-02
251.500500 5.533885e-01 -2.617942e-01 8.992152e-02 -3.524927e-02 2.340764e-02
252.500500 5.522908e-01 -2.625978e-01 9.028924e-02 -3.539392e-02 2.343815e-02
253.500500 5.511853e-01 -2.634086e-01 9.064241e-02 -3.547855e-02 2.345312e-02
254.500500 5.500866e-01 -2.642151e-01 9.099081e-02 -3.560078e-02 2.352805e-02
255.500500 5.489898e-01 -2.650196e-01 9.134047e-02 -3.572080e-02 2.351421e-02
256.500400 5.478885e-01 -2.658280e-01 9.170291e-02 -3.582642e-02 2.353057e-02
257.500400 5.467843e-01 -2.666331e-01 9.202648e-02 -3.595609e-02 2.359087e-02
258.500400 5.456792e-01 -2.674212e-01 9.239962e-02 -3.605050e-02 2.356129e-02
259.500400 5.445963e-01 -2.682127e-01 9.276872e-02 -3.620662e-02 2.366041e-02
260.500400 5.435102e-01 -2.689737e-01 9.310336e-02 -3.628659e-02 2.361788e-02
261.500400 5.424250e-01 -2.697765e-01 9.347578e-02 -3.639424e-02 2.370146e-02
262.500400 5.413296e-01 -2.705437e-01 9.382841e-02 -3.652274e-02 2.367941e-02
263.500400 5.402427e-01 -2.713074e-01 9.415027e-02 -3.660768e-02 2.369085e-02
264.500400 5.391659e-01 -2.720879e-01 9.454329e-02 -3.673121e-02 2.370697e-02
265.500400 5.380736e-01 -2.728514e-01 9.490744e-02 -3.685843e-02 2.373310e-02
266.500400 5.369918e-01 -2.735946e-01 9.524649e-02 -3.693988e-02 2.375153e-02
267.500400 5.359245e-01 -2.743398e-01 9.563294e-02 -3.705828e-02 2.375903e-02
268.500400 5.348466e-01 -2.750970e-01 9.599322e-02 -3.712947e-02 2.381045e-02
269.500400 5.337663e-01 -2.758482e-01 9.632426e-02 -3.730511e-02 2.381611e-02
270.500400 5.326978e-01 -2.765953e-01 9.668894e-02 -3.738079e-02 2.376811e-02
271.500400 5.316168e-01 -2.773211e-01 9.701567e-02 -3.752606e-02 2.379724e-02
272.500400 5.305435e-01 -2.780716e-01 9.739798e-02 -3.765771e-02 2.378734e-02
273.500400 5.294736e-01 -2.788088e-01 9.773910e-02 -3.776673e-02 2.378306e-02
274.500400 5.284057e-01 -2.795375e-01 9.810819e-02 -3.789239e-02 2.378173e-02
275.500400 5.273438e-01 -2.802573e-01 9.842772e-02 -3.798548e-02 2.379448e-02
276.500400 5.262755e-01 -2.810039e-01 9.879420e-02 -3.811943e-02 2.377335e-02
277.500400 5.252003e-01 -2.817191e-01 9.913163e-02 -3.821276e-02 2.378327e-02
278.500400 5.241453e-01 -2.824371e-01 9.948084e-02 -3.836294e-02 2.373957e-02
279.500400 5.230873e-01 -2.831466e-01 9.983158e-02 -3.848316e-02 2.377072e-02
280.500400 5.220297e-01 -2.838796e-01 1.001935e-01 -3.863237e-02 2.377010e-02
281.500400 5.209641e-01 -2.845702e-01 1.005241e-01 -3.876000e-02 2.374782e-02
282.500400 5.199140e-01 -2.852503e-01 1.008961e-01 -3.884867e-02 2.374067e-02
283.500400 5.188563e-01 -2.859698e-01 1.012272e-01 -3.894153e-02 2.378286e-02
284.500400 5.178013e-01 -2.866648e-01 1.015870e-01 -3.906247e-02 2.375749e-02
285.500400 5.167467e-01 -2.873249e-01 1.019249e-01 -3.918894e-02 2.377141e-02
286.500400 5.156974e-01 -2.880262e-01 1.023032e-01 -3.929044e-02 2.375058e-02
287.500400 5.146495e-01 -2.886953e-01 1.026414e-01 -3.939476e-02 2.378414e-02
288.500400 5.136237e-01 -2.893941e-01 1.029842e-01 -3.953730e-02 2.376614e-02
289.500400 5.125639e-01 -2.900668e-01 1.033331e-01 -3.962886e-02 2.375573e-02
290.500400 5.115270e-01 -2.907318e-01 1.036740e-01 -3.975281e-02 2.375941e-02
291.500400 5.104944e-01 -2.914198e-01 1.040281e-01 -3.989432e-02 2.374245e-02
292.500400 5.094455e-01 -2.920540e-01 1.043891e-01 -4.000313e-02 2.374148e-02
293.500400 5.084039e-01 -2.927353e-01 1.047272e-01 -4.009342e-02 2.373120e-02
294.500400 5.073718e-01 -2.933907e-01 1.050742e-01 -4.020496e-02 2.375643e-02
295.500400 5.063408e-01 -2.940290e-01 1.054112e-01 -4.029953e-02 2.375998e-02
296.500400 5.053144e-01 -2.946930e-01 1.057873e-01 -4.044661e-02 2.375363e-02
